t	x	v	state	E_total
62	7.96537	1.26274	1	1.01368
62.1	8.09101	1.16905	0	0.683338
62.2	8.22513	1.465	0	1.07312
62.3	8.37981	1.51013	0	1.14024
62.4	8.53576	1.62333	0	1.31759
62.5	8.73225	1.94931	0	1.89991
62.6	8.92808	1.98159	0	1.96335
62.7	9.12934	2.03259	0	2.06571
62.8	9.34004	2.05038	0	2.10204
62.9	9.50046	1.43493	0	1.02951
63	9.62686	1.21636	0	0.739764
63.1	9.7488	0.993943	0	0.493962
63.2	9.83671	0.778202	0	0.302799
63.3	9.888	0.424709	0	0.0901887
63.4	9.95811	0.62407	0	0.194732
